Column1,law_no,main,middle,small,question,answer
2770,200884002,해고,정리해고,,생산중단으로 부서가 폐지된 경우 정리해고의 정당한 이유가 되는지,기업이 경영상의 사정에 의하여 근로자를 해고하는 이른바 정리해고가 근로기준법 제27조 제1항에 규정된 정당한 이유가 있다고 하기 위하여는 기업이 일정수의 근로자를 정리해고하지 않으면 경영악화로 사업을 계속할 수 없거나 적어도 기업재정상 심히 곤란한 처지에 놓일 개연성이 있을 긴박한 경영상의 필요성이 있어야 하는 것이다(대법원 1990.01.12. 선고 88다카34094 판결)라고 하여 생산중단·축소로 인해 작업부서가 폐지된 경우 긴박한 경영상의 필요성 인정
2771,200854001,해고,전보·전근,,전보나 전근에 대하여 근로자의 포괄적 동의가 인정될 수 있는지 여부,법원은 회사가 근로자의 입사 당시 미리 근로자로부터 지방근무에 대한 동의를 받은 이상 그 후 전보발령시 마다 근로자의 동의를 받아야 하는 것은 아니라고 하여 포괄적 동의도 인정된다는 입장입니다.(대법원 1993.09.14. 선고 92누18825 판결)
2772,200801001,임금,임금채권,,"임금채권자 등 실체법상 우선변제청구권이 있는 채권자가 적법한 배당요구를 하지 아니한 경우, 임금채권자 등이 적법한 배당요구를 한 경우에 배당받을 수 있었던 금액 상당의 금원이 후순위 채권자에게 배당되었다면, 임금채권자 등은 후순위채권자에게 부당이득반환청구를 할 수 있나요","부당이득반환청구를 할 수 없습니다.민사집행법 제84조 제1항에서 규정하는 배당요구 채권자는 경락기일까지 배당요구를 한 경우에 한하여 비로소 배당을 받을 수 있고, 적법한 배당요구를 하지 아니한 경우에는 임금채권과 같이 실체법상 우선변제청구권이 있는 채권자라 하더라도 그 경락대금으로부터 배당을 받을 수는 없을 것이므로, 이러한 배당요구 채권자가 적법한 배당요구를 하지 아니하여 그를 배당에서 제외하는 것으로 배당표가 작성·확정되고 그 확정된 배당표에 따라 배당이 실시되었다면, 집행목적물의 교환가치에 대하여서만 우선변제권을 가지고 있는 법정담보물권자의 경우와는 달리 그가 적법한 배당요구를 한 경우에 배당받을 수 있었던 금액 상당의 금원이 후순위 채권자에게 배당되었다 하여 이를 법률상 원인이 없는 것이라고 할 수 없습니다(대법원 1996. 12. 20. 선고 95다28304 판결)"
2773,200799003,임금,임금채권,,배당요구의 종기는 어떤 기준으로 결정되는건가요.,"배당요구의 종기란, 강제집행절차에서 배당요구를 할 수 있는 마지막 날짜를 말하며, 배당요구의 종기는 집행법원이 절차에 필요한 기간을 감안하여 첫 매각기일 이전으로 정하여 공고를 하게 됩니다(민사집행법 제84조 제1항)"
2774,200777001,임금,임금채권,,밀린 임금을 우선 지급한다는 약정을 따로 하지 않았어도 회사 재산 집행 절차에서 임금을 우선 지급받을 수도 있나요,주장할 수 있습니다. 임금채권의 우선변제권은 당사자의 약정이 없이도 법률의 규정에 의하여 당연히 성립되는 권리이므로 약정이 없더라도 주장할 수 있습니다.
2775,200700002,임금,임금일반,,공로가 인정되는 직원에게 특별상여금을 지급할 수 있다고 규정한 경우 특별상여금은 임금에 포함되나요.,"상여금이 계속적·정기적으로 지급되고 그 지급액이 확정되어 있다면 이는 근로의 대가로 지급되는 임금의 성질을 가지나, 그 지급 사유의 발생이 불확정이고 일시적으로 지급되는 것은 임금이라고 볼 수 없습니다. 대법원은 이와 관련하여, 특별상여금의 지급 근거가 단지 급여규정에만 있을 뿐 단체협약에는 아무런 규정이 없고 또한 그 급여규정에 의하더라도 특별상여금은 회장이 특히 공로가 있다고 인정하는 직원에 대하여 지급할 수 있다고만 규정되어 있을 뿐, 구체적으로 그 지급기준, 지급액수, 지급시기 등에 관하여는 아무런 규정이 없어 그 지급이 확정되어 있다고 보기 어려우며, 실제로도 1987년에 처음으로 월 급여액의 30%가 지급되었고, 1988, 1989년에는 지급된 바 없다가, 1990년도에 다시 30%를 지급한 다음, 1991년도에는 2회에 걸쳐 도합 120%, 1992년부터 1994년까지 3년간은 12월에 100%씩 지급되다가 다시 중단되고, 그 지급 명목도 구구하였다면 그 지급기준과 지급명목 등에 비추어 특별상여금이 계속적·정기적으로 지급되고 있다거나, 그러한 관례가 성립되었다고 보기는 어려우므로 임금에 속한다고 볼 수 없다고 판시한 바 있습니다(대법원 1999.09.03. 선고 98다34393 판결)"
2776,200640003,임금,임금일반,,휴가비가 휴업수당을 산정하는 임금인가요?.,"근로기준법 제46조는 근로자의 최저생활을 보장하려는 취지에서 사용자의 귀책사유로 인하여 휴업하는 경우에는 사용자는 휴업기간 중 당해 근로자에게 그 평균임금의 100분의 70 이상의 수당을 지급하여야 한다고 규정하고 있는바, 일률적, 계속적, 정기적으로 지급된 것인지 여부에 따라 다릅니다. 대법원은 이와 관련하여, 회사의 단체협약에 전 종업원에게 일률적으로 일정액을 하기 휴가비로 지급한다고 규정하고 있고, 하기휴가를 실시했는지 여부와 관계없이 일률적으로 회사가 하기휴가비를 지급하였다면 이는 근로의 대상으로 지급된 금품으로서 임금에 해당하고, 만약 하기휴가를 실시한 종업원에게만 하기휴가비를 지급하였다면 이는 근로의 제공과는 관계 없이 은혜적으로 지급된 금품으로서 임금에 해당하지 않는다고 판시한 바 있습니다(대법원 1996. 5. 14. 선고 95다19256 판결, 대법원 2006. 5. 26. 선고 2003다54322, 54399 판결). 만약 일률적, 계속적, 정기적으로 지급되었다면 휴업수당을 산정하는 임금에 포함됩니다."
2777,200635002,임금,임금일반,,회사가 지급한 체력단련비는 유족보상의 선정기준이 되는 임금에 해당되나요.,"근로기준법 제82조 제1항에 따르면 근로자가 업무상 사망한 경우 사용자는 근로자가 사망한 후 지체 없이 그 유족에게 평균임금 1,000일분의 유족보상을 하여야 한다고 규정되어 있습니다. 한편, 일률적·계속적·정기적으로 지급된 것이면 임금에 포함되는데, 판례도 노사간의 합의에 따라 전근로자에게 지급하여 온 체력단련비가 지급형태와 지급조건에 비추어 평균임금에 포함된다고 판시한 바 있습니다(대법원 1993.05.27. 선고 92다20316 판결). 만약 이러한 사정에 해당한다면 유족보상에 체력단련비가 포함되어 받을 수 있습니다."
2778,200484001,임금,임금일반,,휴가비가 휴업수당을 산정하는 임금에 포함되나요.,"회사에서 일정액을 휴가비로 지급하기로 되어 있고, 휴가를 실시한 것과 무관하게 전직원들에게 일률적으로 지급한 것이라면 근로의 대가 성질을 갖는 임금에 해당합니다(대법원 1996. 5. 14. 선고 95다19256 판결, 대법원 2006. 5. 26. 선고 2003다54322, 54399 판결). 그렇다면 휴업수당 산정 기준이 되는 임금에 포함됩니다."
2779,200437002,임금,임금일반,,1년간 연차휴가를 사용하지 않을 경우 휴가기간에 지급되는 임금을 청구할 수 없나요.,청구할 수 있음. 연차휴가권을 취득한 근로자가 그 휴가권이 발생한 때로부터 1년 이내에 연차휴가를 사용하지 아니하거나 1년이 경과하기 전에 퇴직 등의 사유로 인하여 더 이상 연차휴가를 사용하지 못하는 것으로 확정된 경우에는 그 휴가권이 소멸하는 대신 연차휴가일수에 상응하는 임금으로서 연차휴가수당을 청구할 수 있는 것이다(대법원 2000. 12. 22. 선고 99다10806 판결)
2780,200428003,임금,법정수당,,부당해고를 당한 경우 부당해고 기간도 근로일수에 포함될 수 있나요.,"예, 사용자가 근로자를 해고하였으나 해고에 정당한 이유가 없어 무효인 경우에 근로자는 부당해고기간 동안에 정상적으로 일을 계속하였더라면 받을 수 있었던 임금을 모두 지급받을 수 있다. 따라서 근로자가 부당해고로 인하여 지급받지 못한 임금이 연차휴가수당인 경우에도 해당 근로자의 연간 소정근로일수와 출근일수를 고려하여 근로기준법 제60조 제1항의 요건을 충족하면 연차유급휴가가 부여되는 것을 전제로 연차휴가수당을 지급하여야 하고, 이를 산정하기 위한 연간 소정근로일수와 출근일수를 계산할 때 사용자의 부당해고로 인하여 근로자가 출근하지 못한 기간을 근로자에 대하여 불리하게 고려할 수는 없으므로 그 기간은 연간 소정근로일수 및 출근일수에 모두 산입되는 것으로 보는 것이 타당하며, 설령 부당해고기간이 연간 총근로일수 전부를 차지하고 있는 경우에도 달리 볼 수는 없습니다(대법원 2014. 03. 13. 선고 2011다95519 판결)"
2781,200424002,임금,법정수당,,3년 이상 계속하여 근로한 근로자가 1년 동안 80퍼센트 이상 출근하지 않았을 경우 가산휴가를 부여해야 하나요.,가산휴가가 적용되기 위해서는 지난 1년 동안 80퍼센트 이상 출근하여야 합니다.
2782,200416001,임금,임금일반,,포괄임금제란 무슨 의미인가요,"사용자는 근로계약을 체결함에 있어서 근로자에 대하여 기본임금을 결정하고 이를 기초로 제 수당을 가산하여 이를 합산 지급함이 원칙이라 할 것이나 근로시간, 근로형태와 업무의 성질 등을 참작하여 계산의 편의와 직원의 근무의욕을 고취하는 뜻에서 기본임금을 미리 산정하지 아니한 채 제 수당을 합한 금액을 월 급여액이나 일당임금으로 정하거나 매월 일정액을 제 수당으로 지급하는 내용의 임금지급계약을 말합니다(대법원 1998. 03. 24. 선고 96다24699 판결)"
2783,200375001,임금,법정수당,,선택적 근로시간제에서 근로자가 정산기간에서의 총근로시간이 정산기간의 기준근로시간을 초과하는 경우에는 시간외 근로가 되나요,시간외 근로에 해당하여 가산임금이 지급되어야 합니다.
2784,200345001,임금,법정수당,,선택적 근로시간제는 무엇인가요,"선택적 근로시간제란, 노사합의로 일정 기간동안 근로해야 할 총 근로시간만 정하고 근로자가 업무의 시간 및 종료시각을 정하여 일정 기간 내의 일부 날 또는 주의 근로시간이 기준근로시간을 초과하더라도 연장근로로 보지 않는 제도를 말합니다(근로기준법 제52조)."
2785,214847001,임금,퇴직연금,퇴직연금 수급,대표이사로 근무하면서 가입한 확정기여형 퇴직연금이 있습니다. 퇴직연금 청구권을 담보로 대출을 받을 수 있을까요,"‘퇴직연금제도의 급여를 받을 권리는 양도하거나 담보로 제공할 수 없다’고 규정한 퇴직급여법 제7조 제1항은 근로기준법 제2조 제1항 제1호에 따른 근로자에게만 적용되고, 근로기준법상의 근로자에 해당하지 않는 주식회사의 대표이사에게는 적용되지 않습니다(대법원 2016. 12. 1. 선고 2015다244333 판결). 다만 대표이사라 하더라도 근로기준법상의 근로자에 해당할 여지가 있고, 대표이사의 근로자성 인정 유무는 구체적인 사정에 따라 다릅니다."
2786,214818001,임금,실업급여,구직급여,"구직급여 수급 중에 조기 취업되어 조기재취업수당을 신청하려고 하는데, 어떻게 신청하면 되나요","수급자격자가 조기재취업 수당을 받으려면 조기재취업 수당청구서, 근로계약서 또는 재직증명서등 고용기간을 증명할 수 있는 서류를 첨부하여 신청지 관할 고용센터에 제출해야 합니다(「고용보험법 시행령」 제86조제1항, 「고용보험법 시행규칙」 제109조제1항, 제2항 및 별지 제97호서식)."
2787,214809001,임금,실업급여,구직급여,구직급여중 훈련연장급여란 무엇인가요,“훈련연장급여”란 고용센터의 장이 직업능력개발 훈련 등을 받도록 지시한 경우에 수급자격자가 그 직업능력개발 훈련 등을 받는 기간 중 실업의 인정을 받은 날에 대해 소정급여일수를 초과하여 받을 수 있는 연장된 구직급여를 말합니다(「고용보험법」 제51조제2항).
2788,214770001,임금,실업급여,구직급여,일용근로자는 구직급여를 받을 수 없나요,"구직급여를 지급받기 위해서는 ① 이직일 이전 18개월간 피보험 단위기간이 180일 이상일 것, ② 근로의 의사와 능력이 있음에도 불구하고 취업하지 못한 상태일 것, ③ 이직사유가 수급자격의 제한 사유에 해당하지 않을 것, ④ 재취업을 위한 적극적인 노력을 할 것 등의 요건을 갖추어야 합니다. 일용직근로자는 추가적으로 수급자격 인정신청일(「고용보험법」 제43조) 이전 1개월 동안의 근로일수가 10일 미만일 것(최종 이직 당시 일용근로자였던 자만 해당),최종 이직일 이전 기준기간의 피보험 단위기간 180일 중 다른 사업에서 수급자격의 제한 사유(「고용보험법」 제58조)에 해당하는 사유로 이직한 사실이 있는 경우에는 그 피보험 단위기간 중 90일 이상을 일용근로자로 근로하였을 것(최종 이직 당시 일용근로자였던 자만 해당)의 요건을 충족해야 합니다."
2789,214751002,임금,노동 일반,산업재해,"공사현장에서 근무를 하기 때문에 작업도구를 갖추는 것이 중요한데, 사업주가 이를 제대로 지급하지 않아 다쳤다면 사업주에게 손해배상 책임을 물을 수 있나요","근로계약에 수반되는 신의칙상의 부수적인 의무로서 근로자에 대한 보호의무를 부담하는 사용자에게 근로자가 입은 신체상의 재해에 대하여 민법 제750조 소정의 불법행위책임을 지우기 위하여는 사용자에게 당해 근로로 인하여 근로자의 신체상의 재해가 발생할 수 있음을 알았거나 알 수 있었음에도 불구하고 그 회피를 위한 별다른 안전조치를 취하지 않은 과실이 있음이 인정되어야 하고, 위와 같은 과실의 존재는 손해배상을 청구하는 근로자에게 그 입증책임이 있습니다(대법 99다60115, 2000. 3. 10.)."
2790,214723001,임금,노동 일반,근로기준법 적용 ,"저는 모 방송국에 소속된 무용단원인데 출연을 할 때마다 일정 보수를 받고 있는데, 프리랜서 계약서를 쓰고 있습니다. 이 경우 근로기준법의 보호를 받을 수 없나요","TV방송국 등에 전속된 합창단, 무용단 단원의 경우 일정한 조건에 의해 근로(출연)를 제공하는 의무를 부담하고 그 대가로 임금을 받고 있는 한 사용종속성이 인정되므로 근로자에 해당합니다(근기 68207-2125, 1999. 8. 30.)."
2791,214556001,임금,노동 일반,휴가,직종별로 혹은 부서별로 연차휴가 촉진을 다르게 하거나 하지 않을 수 있나요,"휴가사용촉진조치는 동일한 사업 또는 사업장 내의 모든 근로자를 대상으로 실시함이 바람직하나 직종 또는 근로형태 등을 감안하여 특정집단의 근로자에 대해서는 휴가사용촉진조치의 적용을 제외할 수 있다는 행정해석이 있습니다(근로기준과-407, 2004.1.26)."
2792,214524001,임금,퇴직금,퇴직금 적용예외,건설근로자 퇴직공제금은 받을 수 있는 근로자의 조건이 있나요,퇴직공제 가입대상이 되는 건설현장에서 근로하는 근로계약기간 1년 미만 일용직·임시직 근로자는 퇴직공제제도의 적용대상이 되며 적립일수 252일 이상인 근로자가 청구하는 경우에만 지급됩니다.
2793,214516001,해고,징계,,징계위원회 구성상의 하자가 있는 경우에 징계의 효력에 영향이 있나요,단체협약에서 징계위원회의 구성에 근로자측의 대표자를 참여시키도록 되어 있음에도 불구하고 이러한 징계절차를 위배하여 징계해고를 하였다면 이러한 징계권의 행사는 징계사유가 인정되는지 여부에 관계없이 절차에 관한 정의에 반하는 처사로써 무효입니다.
2794,214490001,임금,노동 일반,취업규칙,취업규칙에 퇴직금규정을 신설하는데 있어 일부 근로자들에게는 불리한 조건이지만 대부분 근로자들에게는 유리하다면 동의를 안받아도 되나요,"일부근로자에게 유리하고 일부근로자에게 불리하여 근로자 상호간에 유·불리에 따른 이익이 충돌되는 경우에는 전체적으로 보아 근로자에게 불리한 것으로 취급하여 종전의 급여규정의 적용을 받고 있던 근로자들의 집단적 의사결정방법에 의한 동의가 필요로 합니다(대판 96다1726, 1997.08.26)."
2795,214436001,임금,노동 일반,여성과 소년,주유소에서 18세 미만의 근로자를 채용할 수 있나요?,"근로기준법 시행령 [별표4]에 의하면 유류를 취급하는 업무는 원칙적으로 18세 미만 근로자가 일할 수 없는 업무이나, ‘주유업무는 제외된다’라고 규정되어 있으므로 주유소에서의 단순 주유업무에는 18세 미만자도 근로할 수 있습니다."
2796,214399001,해고,해고의 제한,,사업장이 폐업했는데 부당해고구제신청을 할 수 있나요?,사용자가 실질적으로 폐업하여 법인격까지 소멸함으로써 근로자가 복귀할 사업체의 실체가 없어졌다면 구제이익이 소멸합니다.
2797,214392001,해고,해고사유 서면통지,,"해고를 하며 서면통지안하였는데 효력이 없다하여 해고를 철회한 뒤 다시 해고사유,시기 등을 적시하여서면통보를 하였습니다. 절차적 흠결이 치유되나요?","해고사유 등의 서면통지에 의하지 않은 해고를 한 사용자가 그 후 절차의 흠결을 깨닫고 앞서 한 해고를 철회하고, 다시 서면통지에 의하여 해고를 하였다면 이러한 해고의 효력을 부정할 수는 없습니다(서울행법 2013구합284, 2013.7.17)."
2798,214390001,해고,해고사유 서면통지,,카톡으로 해고를 통보받았습니다. 적법한 해고라고 할 수 있나요?,"근로기준법 제27조의 취지가 ""사용자가 해고 여부를 더 신중하게 결정하도록 하고, 해고의 존부 및 시기와 사유를 명확히 하여 사후에 이를 둘러싼 분쟁이 적정하고 용이하게 해결되고, 근로자도 해고에 적절히 대응할 수 있게 한"" 규정임에 비춰볼 때, 카톡 메시지로 한 해고 통보는 특별한 사정이 없는 한 적법한 서면 통지로 인정되기는 어려울 것으로 사료됩니다((대법 2015두41401, 2015.9.10 참고)."
2799,214319001,임금,법정수당,가산수당,공장이 속한 동네 전체가 정전이 되어 공장을 가동할 수 없어 휴업하였습니다. 이 경우에 근로자에게 휴업수당을 지급해야 하나요?,"한국전력의 공사 관계 등 외부적인 사유로 정전되어 사업을 일시중지하여 휴업하는 경우에는 사용자의 귀책사유로 볼 수 없어 휴업수당을 지급할 의무가 없습니다(고용노동부 행정해석 법무 811-8509, 1979.4.6)."
2800,214212003,임금,노동 일반,근로기준법 적용 ,상시근로자 수가 4명 이하면 근로기준법을 지키지 않아도 되나요,"근로기준법은 상시 5명 이상의 근로자를 사용하는 모든 사업 또는 사업장에 적용되며, 상시 4명 이하의 근로자를 사용하는 사업 또는 사업장에 대하여는 일부 규정만 적용됩니다(근로기준법 제11조 제1항 및 제2항)."
2801,214209001,임금,노동 일반,근로기준법 적용 ,상근고문이 퇴직급여 지급대상인가요,"사용자와 근로계약을 체결하여 업무수행 과정에 구체적이고 직접적인 사용자의 지휘·감독을 받고, 구체적인 근무시간과 장소도 지정받고, 기본급이나 고정급이 정해져 있으며 근로소득세를 원천징수하는 등의 경우라면 근로자로 볼 수 있을 것이며, 반대로 상근고문이 사업경영 일반에 관하여 책임을 지는 자로서 사업주로부터 사업경영의 전부 또는 일부에 대하여 포괄적 위임을 받고 대외적으로 사업을 대표하거나 대리하는 자라면 사용자에 해당하여 근로자퇴직급여 보장법상 퇴직금 지급대상이 되지 않습니다. (근로복지과-3681, 2013.10.31)"
2802,214167001,임금,노동 일반,출산전후휴가,배우자 출산에 따른 남성근로자의 출산휴가도 파견근로자 대체투입이 가능한가요,"근로자의 병가, 출산휴가로 결원이 발생한 경우에는 그 사유의 해소에 필요한 기간동안 파견근로자를 사용할 수 있을 것입니다. (고용차별개선과-2549, 2015.12.14)"
2803,214142001,임금,노동 일반,"감시,단속적 근로자","아파트 경비 관련 위탁업체가 변경되었다면, 감시,단속적 근로자 승인을 다시 받아야 하나요","아파트 위탁관리업체가 변경되었다면 감시·단속적 근로 종사자에 대한 적용제외 승인을 새롭게 받아야 하는 것이 원칙입니다 (근로개선정책과-7375, 2014.12.18)"
2804,214100001,임금,노동 일반,직장내 성희롱,직장내 성희롱 예방교육을 실시여부를 고용노동부에 보고해야 하나요,"교육실시 후 교육일시, 장소, 대상, 방법, 교육내용 등을 기록으로 남겨두면 되고 이를 별도로 지방노동관서에 보고할 의무는 없습니다. (근정 68240-249, 1999.05.19)"
2805,214082001,임금,노동 일반,연장근로,격일로 교대근로를 하는 근로자도 시간외수당을 받을 수 있나요,"격일제 교대근무의 경우에도 시간외·야간·휴일근로수당에 관한 근로기준법 규정이 적용됩니다 (대법 96다38995, 1997.07.22)"
2806,214081001,임금,노동 일반,"감시,단속적 근로자","기존에 감시, 단속적 근로자로 승인 받은 경우에 교대제 근로를 3조2교대에서 2조2교대로 변경할 때, 감시, 단속적 근로자 승인을 다시 받아야 하나요","감시·단속적 근로시 특정한 형태의 교대제를 금지하는 규정은 근로기준법에 없습니다. 따라서, 2조2교대에 의한 1일 12시간 근무형태로 운영하더라도 감시·단속적 근로 승인요건을 갖추면 승인받을 수 있습니다. 아울러, 감시·단속적 근로의 요건을 갖추어 승인을 받은 경우라면 그 요건을 충족하는 범위내에서 교대제 형태를 변경했더라도 다시 승인받아야 할 의무는 없다고 사료됩니다. (근기 68207-2505, 2001.08.06)"
2807,213928001,임금,노동 일반,취업규칙,불이익 변경의 판단 시점은 언제인가요.,불이익 변경의 판단 시점은 근로자 측의 동의를 받는 시점이 아니라 취업규칙의 개정이 이루어진 시점 입니다.
2808,213927001,임금,노동 일반,취업규칙,정년제 규정을 신설하여 회사의 심사에 따라 일정한 경우에만 만 55세 이후에 근무할 수 있도록 하는 것은 불이익 변경에 해당하나요.,"취업규칙에 정년규정이 없던 운수회사에서 55세 정년규정을 신설한 경우, 그 운수회사의 근로자들은 정년제 규정이 신설되기 이전에는 만 55세를 넘더라도 아무런 제한 없이 계속 근무할 수 있었으나, 그 정년규정의 신설로 인하여 만 55세로 정년에 이르고, 회사의 심사에 의하여 일정한 경우에만 만 55세를 넘어서 근무할 수 있도록 되었다면 이와 같은 정년제 규정의 신설은 근로자가 가지고 있는 기득의 권리나 이익을 박탈하는 불이익 한 근로조건을 부과하는 것에 해당한다. (대법 96다 2507, 1997.05.16)"
2809,213926001,임금,노동 일반,취업규칙,정부의 방침에 따라 국영기업체에서 운영개선을 위하여 퇴직금지급액을 인하한 경우 불이익변경에 해당하나요.,"1. 정부투자기관관리법(1973.2.6. 법률 제2477호, 정부투자기관관리기본법의 시행에 따라 1984.3.1. 폐지) 정부투자기관예산회계법(1962.8.13. 법률 제1119호, 같은 사유로 1984.3.1. 폐지)은 근로기준법과는 입법목적, 규정사항들을 달리하므로, 근로기준법의 특별법이라고 볼 수 없고, 또 위 각 법률의 개별조항에 있어서도 정부투자기관 임직원의 보수, 퇴직금 등 근로조건에 관하여 근로기준법에 대한 특칙에 규정한 바도 없기 때문에 정부투자기관의 임직원의 보수, 퇴직금 등 근로조건에 관한 사항은 역시 근로기준법의 적용을 받는다. 2. 근로기준법 제95조 제1항에 의한 취업규칙의 작성 또는 변경이 근로자가 가지고 있는 기득의 권리나 이익을 박탈하여 불이익 한 근로조건을 부과하는 내용일 때에는 종전 근로조건 또는 취업규칙의 적용을 받고 있던 근로자집단의 집단의사결정방법에 의한 동의를 요하고 이러한 동의가 없이 작성, 변경된 취업규칙은 사회통념상 합리성이 있다고 인정될 만한 것이 아닌 한 무효라 할 것이므로, 사원에 대한 퇴직금지급율을 하향조정하고 퇴직금산정의 기초가 되는 임금의 범위를 제한하여 결과적으로 퇴직금지급액을 인하하는 퇴직금급여규정의 개정은 임직원들에게 불이익 하게 변경한 것이 명백하고, 거기에 근로자집단의 동의를 받지 않아도 할 수 없는데도 위 퇴직금급여규정개정시 위 개정 전 규정의 적용을 받던 임직원 등 근로자집단의 집단의사결정방법에 의한 동의를 얻지 아니한 경우에는 위 퇴직금급여규정의 개정은 개정 전 규정의 적용을 받던 임직원들에 대하여 효력이 없다. 3. 퇴직급여규정의 개정이 대한주택공사의 내규인 취업규칙, 정관, 이사회운영규정의 각 규정에 따른 것이라 하더라도 위와 같은 규정은 위 공사가 사용자측 입장에서 퇴직급여규정을 제정, 개정하는 경우 거쳐야 할 절차를 규정한 것에 지나지 아니하므로 위와 같은 규정에 따라 개정된 퇴직급여규정이 근로자에게 불이익 한 경우 근로자들에게 구속력을 갖기 위하여는 근로자집단의 동의가 필요하다. (대법 89다카24780, 1990.03.13)"
2810,213876001,임금,노동 일반,근로기준법 적용 ,공민권 행사의 근로기준법상 개념이 궁금합니다.,"사용자는 근로자가 근로시간 중에 선거권, 그 밖의 공민권(公民權) 행사 또는 공(公)의 직무를 집행하기 위하여 필요한 시간을 청구하면 거부하지 못한다. 다만, 그 권리 행사나 공(公)의 직무를 수행하는 데에 지장이 없으면 청구한 시간을 변경할 수 있다. (근로기준법 제10조)"
2811,213855001,임금,노동 일반,근로기준법 적용 ,근로의 권리를 헌법으로 보장받는 근로자는 퇴직 시 퇴직금 청구권을 확보하나요.,"근로자가 퇴직급여를 청구할 수 있는 권리도 헌법상 바로 도출되는 것이 아니라 퇴직급여법 등 관련 법률이 구체적으로 정하는 바에 따라 비로소 인정될 수 있는 것이다. (대법 헌재 2009헌마408, 2011.07.28)"
2812,213758001,임금,노동 일반,근로시간,법내초과시간근로에는 가산수당을 지급해야 하나요.,법내초과시간 근로의 경우 연장근로로 볼 수 있어 가산임금의 지급 의무가 없습니다.
2813,213755001,임금,노동 일반,근로시간,관행화된 연장근로가 법 위반이라면 이 또한 합의의 성립으로 볼 수 있나요.,법을 위반한 연장근로가 관행화 있다고 하더라도 합의의 성립으로 볼 수 없습니다.
2814,213731001,임금,노동 일반,근로시간,3개월 단위의 탄력적 근로시간제의 도입은 근로자대표와의 서면합의를 통해서만 도입되어야 하나요.,"2주단위의 탄력적 근로시간제보다 3개월 단위의 탄력적 근로시간제가 근로자의 생활상 불이익이 크기 때문에 근로자대표와의 서면합의를 요건으로 하고 있습니다. 여기서 근로자대표란 근로자 과반수로 조직된 노동조합이 있는 경우에는 그 노동조합, 없는 경우에는 근로자 과반수를 대표하는 자를 말합니다."
2815,213698001,임금,노동 일반,단시간근로,주5일 40시간을 근무하는 통상근로자의 임금이 200만원일 때 주3일 일하는 단시간 근로자의 월 임금은 얼마인가요?,"통상근로자의 근로시간에 비례한 24/40 만큼이 주3일 근로자의 월 소정근로시간이 됩니다. 그리고 주3일 근로자의 월 임금은 200만원*24/40 = 1,200,000원입니다."
2816,213648001,임금,노동 일반,근로계약,통상근무자를 교대제근무형태로 변경해도 사용자의 인사권이기 때문에 문제가 없지 않나요?,개별근로계약으로 근무형태를 결정하고 장기간 근무해왔다면 개별 근로계약의 변경 없이 사용자가 일방적으로 근무형태를 변경할 수는 없습니다.
2817,213638001,임금,노동 일반,휴일,주중 연차휴가를 사용한다면 해당 주에 주휴수당은 발생하지 않나요?,연차휴가를 사용하였을 때는 출근한 것으로 간주되어 출근율에 영향을 주지 않으므로 해당 주에 만근하였을 경우 주휴수당은 발생합니다.
2818,213482001,임금,노동 일반,휴가,24시간 격일제 근무자가 24시간 근무일에 연차휴가를 사용할 경우 며칠을 사용한 것으로 보아야 하나요?,"24시간 격일제 근무자는 당일 24시간 근로를 전제로 다음 비번일 완전히 휴무하는 것이므로 근로의무가 있는 날 1일을 연차휴가로 사용하는 경우는 2일(당일과 비번일 합계 2일)을 휴가로 사용한 것과 같습니다(임금근로시간-3961, 2006.12.27)."
2819,213444001,임금,노동 일반,근로계약,고령자고용연장장려금이 뭔가요?,정년을 정하지 않은 사업장에서 60세 이상 1년 이상 계속근로한 고령자를 일정비율 이상 고용한 사업주에게 지급하는 지원금입니다.
2820,213426001,임금,노동 일반,직장내 성희롱,성희롱사건으로 인사담당자와 상담을 했는데 회사측에서 아무런 조치를 하지 않을 경우 벌칙이 있나요?,"사업주는 직장내 성희롱 발생이 확인된 경우 지체없이 행위자에 대하여 징계와 그 밖에 이에 준하는 조치를 하여야 하고(남녀고용평등과 일·가정 양립지원에 관한 법률 제14조 제1항), 사업주가 법 제14조 제1항을 위반하여 직장내 성희롱 발생이 확인되었는데도 지체없이 행위자에게 징계나 그 밖에 이에 준하는 조치를 하지 아니한 경우에는 500만원 이하의 과태료를 부과됩니다(동법 제39조 제2항 제1호)."
2821,213418001,해고,징계,,경업을 할 경우에도 징계해고 사유가 되나요?,근로자는 회사에 근무하면서 주된 의무로서 근로제공의무 이외에 부수적 의무로서 성실의무를 부담합니다. 성실의무에 따라 경업금지의무가 요구되는 데 이를 어길 시 징계사유는 있으나 해고는 징계양정의 문제로서 취업규칙 등 사내규정을 살펴볼 필요가 있습니다.
2822,213390001,임금,노동 일반,근로기준법 적용 ,근로기준법 제70조에 규정된 근로자의 동의에는 구두 동의도 포함하나요?,원칙적으로 구두동의도 무방하나 분쟁발생 시 입증책임이 사용자에게 있으므로 서면동의를 받아야 할 것으로 일응 사료됩니다.
