Column1,분류일련번호,백문일련번호,대분류,중분류,백문백답주제명,백문내용,백답간략내용,서비스 시간
231,82,5521,근로/노동,여성근로자,출산전후휴가의 분할사용,"임신 3개월째입니다. 이전에 유산 경험이 있어 출산 전에 미리 휴가를 앞당겨 쓰고 싶은데요, 출산이 가까워졌을 때 밖에 사용하지 못 하는 건가요?",아닙니다. 사용자는 임신한 여성근로자가 유산·사산의 경험이 있는 경우라면 출산 전 어느 때라도 휴가를 나누어 사용할 수 있도록 해 주어야 합니다. 이 경우 출산 후의 휴가 기간은 연속해서 45일(한 번에 둘 이상 의 자녀를 임신한 경우에는 60일) 이상이 되어야 합니다.<br/>◇ 출산전후휴가 분할사용<br/>☞ 사용자는 임신 중인 여성 근로자가 다음과 같은 사유가 있는 경우에는 출산 전 어느 때 라도 휴가를 나누어 사용할 수 있도록 해 주어야 합니다. 이 경우 출산 후의 휴가 기간은 연속하여 45일(한 번에 둘 이상 자녀를 임신한 경우에는 60일) 이상이 되어야 합니다.<br/>,2019-11-11 9:57
232,82,5519,근로/노동,여성근로자,임신기간 중 근로시간 단축,"현재 다니고 있는 회사에서 하루에 7시간씩 근무하고 있습니다. 임신초기라 자꾸 피곤하여 근무시간 단축을 신청하려고 하는데요, 2시간 단축을 신청할 수 있나요? 또, 단축근무기간 동안은 임금이 삭감되나요?","먼저, 1일 근로시간이 8시간 미만인 근로자가 임신기 근로시간 단축을 신청하는 경우에는 근로시간이 6시간이 되도록 단축할 수 있습니다. 그리고 사용자는 여성근로자가 임신기간 중 근로시간 단축을 하였다는 이유로 임금을 삭감해서는 안 됩니다.<br/>◇ 임신기간 중 근로시간 단축<br/>☞ 사용자는 임신 후 12주 이내(임신 후 84일까지) 또는 36주 이후(임신 후 246일 이후)에 있는 여성근로자가 1일 2시간의 근로시간 단축을 신청하는 경우 신청할 경우 이를 허용해야 합니다.<br/>",2022-05-13 17:08
233,82,5525,근로/노동,일과 가정생활,가족돌봄휴직 제도,아픈 딸을 돌보기 위해 사직을 고민 중인데요. 회사를 그만두지 않고 잠시 회사를 쉬면서 딸을 돌볼 수 있는 방법은 없을까요?,"가족돌봄휴직 제도를 이용해 보세요!<br/>◇ 가족돌봄휴직 제도<br/>☞ 사업주는 근로자가 조부모, 부모, 배우자, 배우자의 부모, 자녀 또는 손자녀의 질병, 사고, 노령으로 인하여 그 가족을 돌보기 위한 휴직을 신청하는 경우 이를 허용해야 합니다.<br/>☞ 가족돌봄휴직 기간은 연간 최장 90일로 하며, 이를 나누어 사용할 수 있습니다.<br/>",2022-06-21 15:52
234,82,5528,근로/노동,일과 가정생활,불리한 처우 금지,기존 업무와 다른 업무에 배정되거나 해고를 당하는 등 불리한 대우가 두려워 육아휴직을 사용하기 꺼려지는데요. 이를 보호하는 장치는 없나요? ,"사업주는 육아휴직 기간 중인 근로자를 해고하거나, 해당 근로자는 육아휴직 전과 다른 업무나 다른 수준의 임금을 지급하는 직무에 복귀시킨 경우에는 처벌을 받게 됩니다.<br/>◇ 해고 및 불리한 처우 금지<br/>☞ 사업주는 배우자 출산휴가, 가족돌봄휴직, 육아휴직, 육아기 근로시간 단축을 이유로 해당 근로자를 해고하거나 그 밖의 불리한 처우를 해서는 안 됩니다.<br/>",2019-11-11 14:25
235,82,5526,근로/노동,일과 가정생활,육아휴직,"출산휴가와 함께 육아휴직을 신청하려고 하는데, 이번에는 6개월만 사용하고 나머지는 아이가 초등학교 입학할 때 사용할 수 있나요? ",육아휴직은 만 8세 이하 또는 초등학교 2학년 이하의 자녀(입양한 자녀를 포함)를 양육하기 위해서라면 같은 자녀에 대해 1년의 기간 내에서 2회 나눠 사용할 수 있습니다.<br/>◇ 육아휴직 제도<br/>☞ 사업주는 임신 중인 여성 근로자가 모성을 보호하거나 근로자가 만 8세 이하 또는 초등학교 2학년 이하의 자녀(입양한 자녀를 포함)를 양육하기 위하여 휴직을 신청하는 경우에 이를 허용해야 합니다.<br/>,2022-01-14 9:10
236,82,5523,근로/노동,일과 가정생활,연차 유급휴가,"육아휴직을 1년 동안 사용한 후, 올해 1월 회사에 복귀했는데요. 저 같은 경우는 올 한해동안 연차 유급휴가를 사용할 수 없나요?","육아휴직 기간은 실제 근무를 하지 않았더라도 출근한 것으로 보고 연차 유급휴가를 계산하기 때문, 육아휴직 사용여부와 상관없이 연차 유급휴가는 사용할 수 있습니다.<br/>◇ 연차 유급휴가<br/>☞ 사용자는 1년간 80% 이상 출근한 근로자에게 15일의 유급휴가를 주어야 합니다.<br/>☞ 사용자는 계속하여 근로한 기간이 1년 미만인 근로자 또는 1년간 80% 미만 출근한 근로자에게 1개월 개근 시 1일의 유급휴가를 주어야 합니다.<br/>",2019-11-11 14:19
237,82,5524,근로/노동,일과 가정생활,배우자 출산휴가,"아내가 출산을 했는데, 남편인 저도 출산휴가를 사용할 수 있을까요? ","네. 아내인 배우자가 출산을 한 경우 남편은 “배우자 출산휴가”를 사용할 수 있습니다.<br/>◇ 배우자 출산휴가 제도<br/>☞ 사업주는 근로자가 배우자의 출산을 이유로 휴가를 청구하는 경우에 10일의 휴가를 주어야 하며, 이 경우 사용한 휴가기간은 유급으로 합니다.<br/>◇ 배우자 출산휴가 청구 기한<br/>",2019-11-11 14:20
238,82,5527,근로/노동,일과 가정생활,육아기 근로시간 단축,이미 육아휴직 1년을 사용한 경우에는 육아기 근로시간 단축근무를 할 수 없나요? ,"육아휴직을 이미 사용했더라도, 추가로 1년의 기간 동안 육아기 근로시간 단축 제도를 이용하여 단축 근무를 할 수 있습니다.<br/>◇ 육아기 근로시간 단축 제도<br/>☞ 사업주는 근로자가 만 8세 이하 또는 초등학교 2학년 이하의 자녀를 양육하기 위해 근로시간의 단축을 신청하는 경우에 이를 허용해야 합니다.<br/>☞ 육아기 근로시간 단축 기간 중의 근로시간은 주당 15시간 이상이어야 하고 35시간을 넘어서는 안 됩니다.<br/>",2021-01-26 8:50
239,82,5574,근로/노동,고객응대근로자,건강장해 사후조치,음식점에서 고객을 응대하는 일을 합니다. 고객이 지속적인 폭언 등을 하고 있다면 사업주에게 어떠한 조치를 요구할 수 있나요?,☞ 사업주는 고객의 폭언 등으로 인하여 고객응대근로자에게 건강장해가 발생하거나 발생할 현저한 우려가 있는 경우에는 다음의 필요한 조치를 하여야 합니다.<br/>1. 업무의 일시적 중단 또는 전환<br/>2. 휴게시간의 연장<br/>3. 건강장해 치료 및 상담 지원<br/>,2020-06-04 11:21
240,82,5572,근로/노동,고객응대근로자,고객응대근로자란?,고객응대근로자란 어떤 사람을 말하나요?,"☞ &quot;고객응대근로자&quot;란 주로 고객을 직접 대면하거나 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 제2조제1항제1호에 따른 정보통신망을 통하여 상대하면서 상품을 판매하거나 서비스를 제공하는 업무에 종사하는 근로자를 말합니다.<br/>※ “정보통신망”이란, 「전기통신사업법」 제2조제2호에 따른 전기통신설비를 이용하거나 전기통신설비와 컴퓨터 및 컴퓨터의 이용기술을 활용하여 정보를 수집·가공·저장·검색·송신 또는 수신하는 정보통신체제를 말합니다.<br/>",2022-07-11 9:01
241,82,5575,근로/노동,고객응대근로자,고객 등에 의한 성희롱,고객에 의한 성희롱 발생 시 사업주가 조치할 내용은 무엇인가요?,"☞ 사업주는 고객 등 업무와 밀접한 관련이 있는 사람이 업무수행 과정에서 성적인 언동 등을 통하여 근로자에게 성적 굴욕감 또는 혐오감 등을 느끼게 하여 해당 근로자가 그로 인한 고충 해소를 요청할 경우 근무 장소 변경, 배치전환, 유급휴가의 명령 등 적절한 조치를 하여야 합니다.<br/>- 사업주가 이를 위반하여 근무 장소 변경, 배치전환, 유급휴가의 명령 등 적절한 조치를 하지 아니한 경우에는 300만원 이하의 과태료가 부과됩니다.<br/>",2020-06-04 11:20
242,82,5573,근로/노동,고객응대근로자,건강장해 예방조치,고객의 폭언 등으로 인한 고객응대근로자의 건강장해 예방을 위해 사전에 사업주가 해야 할 조치는 무엇인가요?,"☞ 사업주는 주로 고객을 직접 대면하거나 정보통신망을 통하여 상대하면서 상품을 판매하거나 서비스를 제공하는 업무에 종사하는 근로자(고객응대근로자)에 대하여 고객의 폭언, 폭행, 그 밖에 적정 범위를 벗어난 신체적·정신적 고통을 유발하는 행위(폭언 등)로 인한 건강장해를 예방하기 위하여 다음의 필요한 조치를 하여야 합니다.<br/>1. 폭언 등을 하지 않도록 요청하는 문구 게시 또는 음성 안내<br/>2. 고객과의 문제 상황 발생 시 대처방법 등을 포함하는 고객응대업무 매뉴얼 마련<br/>",2020-06-04 11:21
243,82,5576,근로/노동,고객응대근로자,고객응대근로자 업무상 재해,콜센터에서 근무 중인 상담원입니다. 고객의 폭언으로 병원에서 우울증 진단을 받고 치료가 필요한데 산업재해로 인정받을 수 있나요?,☞ 고객의 폭언 등으로 인한 업무상 정신적 스트레스가 원인이 되어 발생한 업무상 질병은 업무와 재해 발생 사이에 상당인과관계가 인정되면 업무상 재해로서 산업재해 보상을 받을 수 있습니다.<br/>☞ 감정노동으로 인한 정신질환 인정기준은 다음과 같습니다.<br/>· 업무와 관련하여 정신적 충격을 유발할 수 있는 사건에 의해 발생한 외상후 스트레스 장애<br/>· 업무와 관련하여 고객 등으로부터 폭력 또는 폭언 등 정신적 충격을 유발할 수 있는 사건 또는 이와 직접 관련된 스트레스로 인하여 발생한 적응장애 또는 우울병 에피소드<br/>,2020-06-04 11:19
244,82,5789,근로/노동,배달앱종사자,배달앱종사자의 산재보험 적용제외 사유,"감염병의 확산으로 불가피하게 1개월 이상 휴업하게 됐는데, 이런 경우에도 배달기사에 대한 산재보험을 유지해야 하나요?",그렇지 않습니다. 특수형태근로종사자가 다음의 적용제외 사유 중 어느 하나에 해당하는 경우 특수형태근로종사자 또는 사업주는 근로복지공단에 산재보험 적용 제외를 신청할 수 있습니다.<br/>※ 배달앱종사자는 플랫폼을 통해 노무를 제공하는 “플랫폼 노무제공자”로서 개인사업자 또는 특수형태근로종사자의 형태를 가집니다.<br/>* “특수형태근로종사자”란 계약의 형식과 관계없이 근로자와 유사하게 노무를 제공함에도 「근로기준법」이 적용되지 않는 사람을 말합니다(「산업재해보상보험법」 제125조 및 「산업안전보건법」 제77조).<br/>,2021-08-30 10:12
245,82,5791,근로/노동,배달앱종사자,공제조합의 설립과 역할,"플랫폼 노무제공자(플랫폼을 이용한 소화물배송대행서비스종사자) 공제조합을 설립하면 보험비도 저렴해지고 좋다고 하던데, 공제조합이 무엇인지, 그리고 공제조합을 통해 할 수 있는 사업에는 무엇이 있는지 알려주세요. ","공제조합은 상호 간의 협동조직을 통해 조합원이 자주적인 경제활동을 영위할 수 있도록 지원하고 조합원의 사업용 운송수단의 사고로 생긴 손해를 배상하기 위한 것으로, 국토교통부장관의 인가를 받아 설립할 수 있습니다.<br/>◇ 공제조합의 사업<br/>테이블 단락<br/>",2021-08-30 10:14
246,82,5788,근로/노동,배달앱종사자,배달앱종사자의 산재보험 가입,배달앱종사자인데 배달 중 사고를 당했습니다. 산재처리를 받을 수 있을까요?,일정 요건을 충족한 특수형태근로종사자로부터 노무를 제공받는 사업은 산재보험에 가입해야 합니다.<br/>※ 배달앱종사자는 플랫폼을 통해 노무를 제공하는 “플랫폼 노무제공자”로서 개인사업자 또는 특수형태근로종사자의 형태를 가집니다.<br/>* “특수형태근로종사자”란 계약의 형식과 관계없이 근로자와 유사하게 노무를 제공함에도 「근로기준법」이 적용되지 않는 사람을 말합니다(「산업재해보상보험법」 제125조 및 「산업안전보건법」 제77조).<br/>,2021-08-30 10:11
247,82,5786,근로/노동,배달앱종사자,배달앱종사자의 고용보험 가입,"배달앱종사자와 같은 특수형태근로종사자에게도 고용보험이 적용되는지, 그리고 그 적용 예외가 있는지 알려주세요. ","현재는 특수형태근로종사자 중 일부 직종(보험설계사, 방문판매원, 학습지 방문강사, 건설기계 운전자 등 「고용보험법 시행령」 제104조의11에서 정하고 있는 직종)에 한해서 고용보험이 적용되고 있지만, 점차 그 적용 범위를 넓혀가고 있습니다. 이에 따라 일부 예외 사유에 속하는 경우를 제외하고는 특수형태근로종사자에 속하는 플랫폼 노무제공자 또한 2022년 1월부터 고용보험 적용 대상에 포함됩니다.<br/>※ “특수형태근로종사자”란 계약의 형식과 관계없이 근로자와 유사하게 노무를 제공함에도 「근로기준법」이 적용되지 않는 사람을 말합니다(「산업재해보상보험법」 제125조 및 「산업안전보건법」 제77조).<br/>",2021-08-30 10:08
248,82,5790,근로/노동,배달앱종사자,소화물배송업 인증제,소화물배송업 인증의 신청방법과 인증 시 혜택에 대해 알려주세요.,"오토바이를 이용해서 화물을 직접 배송하거나 정보통신망 등을 활용하여 이를 중개하는 배달대행 등의 소화물배송대행서비스를 제공하는 사업자는 국토교통부장관에게 소화물배송대행서비스사업자인증(이하 “소화물배송업 인증”이라 함)을 신청할 수 있습니다.<br/>◇ 신청방법<br/>☞ ‘소화물배송대행서비스사업자인증 신청서’에 다음의 서류를 첨부해서 국토교통부장관에게 신청할 수 있으며, 신청 시 소정의 수수료가 부가됩니다.<br/>",2021-08-30 10:13
249,82,5785,근로/노동,배달앱종사자,배달앱종사자의 근로자성 인정 여부,"배달앱 플랫폼 회사의 전속 배달기사이고 출퇴근 시간은 물론 점심시간도 지정되어 있는데, 근로자성을 인정받을 수 있을까요?","배달앱종사자는 플랫폼을 통해 노무를 제공하는 “플랫폼 노무제공자”라는 특성상 일반적으로 「근로기준법」에 따른 근로자로 보기는 어렵지만, 개별 사안별로 「근로기준법」상 근로자로 인정할 것인지 여부를 판단할 수는 있습니다.<br/>※ 배달앱종사자는 플랫폼을 통해 노무를 제공하는 “플랫폼 노무제공자”로서 개인사업자 또는 특수형태근로종사자의 형태를 가집니다.<br/>◇ 근로자와 특수형태근로종사자<br/>",2021-08-30 9:24
250,82,5792,근로/노동,배달앱종사자,책임보험 가입 의무,"오토바이를 이용한 배달기사 일을 시작하려고 하는데, 어떤 보험에 가입해야 하나요?","이륜자동차는 운용 목적에 따라 ① 가정용 및 출퇴근용 ② 유상운송 ③ 비유상운송으로 구분되며, 그 목적에 맞는 보험에 가입해야 합니다.<br/>현재 유상운송보험은 의무가입이 아닌 특약의 개념이지만, 약관을 살펴보면 가입 목적과 적합하지 않은 운행 중 사고가 발생하면 보험사는 보상을 책임질 의무가 없다는 조항이 포함되어 있으므로, 배달대행서비스를 위해 이륜자동차 보험을 가입하고자 하는 경우에는 유상운송보험 특약에 가입하는 것이 좋습니다.<br/>",2021-08-30 10:14
251,82,5794,근로/노동,배달앱종사자,배달앱종사자의 구직급여 받기,"배달앱 플랫폼 회사에서 전속 배달기사로 일하다가 퇴직을 하게 됐는데, 제 경우에도 구직급여를 받을 수 있나요?",※ 배달앱종사자는 플랫폼을 통해 노무를 제공하는 “플랫폼 노무제공자”로서 개인사업자 또는 특수형태근로종사자의 형태를 가집니다.<br/>* “특수형태근로종사자”란 계약의 형식과 관계없이 근로자와 유사하게 노무를 제공함에도 「근로기준법」이 적용되지 않는 사람을 말합니다(「산업재해보상보험법」 제125조 및 「산업안전보건법」 제77조).<br/>다음의 요건을 모두 충족하는 경우 특수형태근로종사자도 구직급여를 받을 수 있습니다.<br/>,2021-08-30 10:16
252,82,5787,근로/노동,배달앱종사자,투잡의 고용보험 이중취득 제한 위반 여부,"회사를 다니면서 배달기사 일도 하고 있는데, 두 곳에서 모두 고용보험에 가입되어 있습니다. 이 경우 「고용보험법」상 이중취득 제한 규정 위반인가요? ","「고용보험법」은 근로자가 고용보험에 이중으로 가입하는 것을 제한하고 있지만, 개인사업자나 특수형태근로종사자인 경우 일부 예외가 적용됩니다.<br/>※ 배달앱종사자는 플랫폼을 통해 노무를 제공하는 “플랫폼 노무제공자”로서 개인사업자 또는 특수형태근로종사자의 형태를 가집니다.<br/>* “특수형태근로종사자”란 계약의 형식과 관계없이 근로자와 유사하게 노무를 제공함에도 「근로기준법」이 적용되지 않는 사람을 말합니다(「산업재해보상보험법」 제125조 및 「산업안전보건법」 제77조).<br/>",2021-08-30 10:09
253,82,5793,근로/노동,배달앱종사자,종합소득세 신고·납부,"배달기사는 종합소득세 신고 및 납부를 언제, 어떻게 해야 하나요?","배달대행업으로 인해 얻는 소득은 일반적으로 「소득세법」상 “사업소득”에 해당하므로, 과세기간의 다음 연도 5월 1일부터 5월 31일까지 납세지 관할 세무서장에게 종합소득세 신고를 해야 합니다.<br/>◇ 배달앱종사자가 지급받는 소득의 종류<br/>☞ 배달앱종사자가 배달 오더를 선택해서 배달을 한 후 받은 수수료는 일반적으로 사업소득에 해당합니다.<br/>◇ 종합소득세 신고 의무<br/>",2021-08-30 10:15
254,82,5869,근로/노동,청년취업지원,청년에 대한 직장체험 기회 제공,취업을 준비하면서 지원하고 싶은 중소기업이 생겼습니다. 제 적성에 이 기업이 잘 맞을지 걱정이 되는데 알아볼 수 있는 방법이 있을까요?,"해당 기업이 중소기업 청년 직무체험 프로그램 사업에 참여하고 있다면, 중소기업 탐방프로그램 홈페이지(www.work.go.kr/experi)에서 온라인 신청을 통하여 1일 5시간 이상 2주 이내의 기간 동안 해당 기업에서 직업을 체험해 볼 수 있습니다.<br/>◇ 청년에 대한 직장체험 기회 제공<br/>☞ 국가 및 지방자치단체는 청년이 직업을 선택하기 전에 기업과 공공기관 및 지방공기업에서 직업을 체험할 수 있는 기회를 제공하도록 노력해야 합니다.<br/>",2022-05-02 10:07
255,82,5874,근로/노동,청년취업지원,온라인 청년센터를 이용한 상담,취업 준비로 인한 스트레스 때문에 마음이 힘들어 밖에서 사람을 만나는 것도 싫어졌습니다. 누군가에게 고민을 털어놓고 상담 받고 싶은데 저에게 맞는 방법이 있나요?,고용노동부와 한국고용정보원에서 운영하는 온라인 청년센터(www.youthcenter.go.kr)에서 청년층을 대상으로 취업 준비로 인한 불안 및 취업 스트레스 상담 등을 받을 수 있습니다. 예약신청을 통해 비대면 온라인으로 1:1 맞춤형 심층(전문) 상담 서비스를 지원받을 수 있습니다.<br/>◇ 청년 복지증진<br/>☞ 국가와 지방자치단체는 청년의 육체적·정신적 건강 증진과 삶의 질 개선 등 복지 증진을 위한 대책을 마련해야 합니다.<br/>,2022-05-02 10:06
256,82,5868,근로/노동,청년취업지원,공공기관의 청년 미취업자 고용 의무,공공기관 취업을 준비하고 있는 32살 취업준비생입니다. 제가 준비하는 공공기관은 매년 청년 미취업자를 일정 비율 이상 고용해야한다던데 자세한 내용이 궁금합니다.,"공기업과 준정부기관 및 정원이 30명 이상인 기타공공기관의 장은 매년 각 공공기관 정원의 100분의 3 이상씩 15세 이상 34세 이하인 청년 미취업자를 고용해야 할 의무가 있습니다.<br/>◇ 공공기관의 청년 미취업자 고용 의무<br/>☞ 「공공기관의 운영에 관한 법률」에 따른 공공기관과 「지방공기업법」에 따른 지방공기업 중 공기업, 준정부기관 및 정원이 30명 이상인 기타공공기관과 정원이 30명 이상인 지방공사 및 지방공단의 장은 매년 각 공공기관과 지방공기업의 정원의 100분의 3 이상씩 청년 미취업자를 고용해야 합니다.<br/>",2022-05-02 10:07
257,82,5870,근로/노동,청년취업지원,직업능력개발계좌(국민내일배움카드)의 발급,"대학교 졸업을 한 학기 남겨둔 대학생입니다. 졸업 전에 국민내일배움카드를 발급받아 자격증 대비 강의 비용을 지원받고 싶은데, 어디서 신청할 수 있나요?","국민내일배움카드(직업능력개발계좌) 발급은 계좌발급 신청서, 개인정보의 수집·이용 및 제공에 관한 동의서, 지원대상임을 확인할 수 있는 서류, 국민내일배움카드 신청자의 권리 및 의무사항에 대한 확인서를 구비하여 거주지 또는 소속 사업장을 관할하는 지방고용노동관서에서 직접 신청하거나 직업훈련포털 HRD-Net(www.hrd.go.kr)을 통해 신청하면 됩니다.<br/>◇ 직업능력개발훈련 지원 등<br/>☞ 국가와 지방자치단체는 국민의 고용창출, 고용촉진 및 고용안정을 위하여 직업능력개발훈련을 실시하거나 직업능력개발훈련을 받는 사람에게 비용을 지원할 수 있습니다.<br/>",2022-05-02 10:07
258,82,5873,근로/노동,청년취업지원,서울특별시의 청년월세지원 사업,취업 준비를 위해 서울에 자취방을 얻어 공부하고 있는데요. 취업 준비를 하면서 아르바이트까지 해도 매달 내야하는 월세 비용이 너무 부담스럽습니다. 혹시 지원받을 수 있는 제도가 있나요?  ,"네, 서울특별시에서는 신청일 기준 주민등록상 서울특별시에 거주하고 있는 만 19세 이상 39세 이하의 청년으로서 임차보증금 5천만원 이하 및 월세 60만원 이하 건물에 월세로 거주하고 있는 무주택자이며 기준중위소득 150% 이하 청년 1인 가구에게 최대 200만원(월 20만원)의 월세비용을 지원하고 있습니다. 자세한 내용은 서울주거 포털 청년월세지원 홈페이지(www.housing.seoul.go.kr)에서 확인할 수 있습니다.<br/>◇ 청년 주거지원<br/>",2022-05-02 10:07
259,82,5872,근로/노동,청년취업지원,부정행위에 따른 구직촉진수당의 지급 제한,"저는 이미 취업이 예정되어있어 구직촉진수당 수급이 불가능한데, 동생의 이름을 빌려 구직촉진수당을 신청하면 어떻게 되나요?","다른 사람의 명의를 도용하여 수급자격을 인정받은 경우 등 거짓이나 그 밖의 부정한 방법으로 구직촉진수당을 지급받은 경우에는 고용노동부 장관이 구직촉진수당 지급결정을 취소하고, 이미 지급받은 구직촉진수당의 전부 또는 일부의 반환을 명할 수 있습니다. 또한, 구직촉진수당의 지급결정 취소를 받은 수급자는 그 결정이 있은 날부터 5년 동안 취업지원을 신청할 수 없으므로 부정한 방법으로 구직촉진수당을 신청해서는 안 됩니다.<br/>◇ 부정행위에 따른 구직촉진수당의 지급 제한<br/>",2022-05-02 10:07
260,82,5867,근로/노동,청년취업지원,청년의 나이 기준,"저는 세종특별자치시에 거주하고 있는 36살 취업준비생입니다. 세종특별자치시에서 운영하는 청년지원 정책이 있다던데, 저도 받을 수 있나요?","일반적으로 청년정책에 관한 기본적인 사항을 규정하는「청년기본법」에서는 청년을 19세 이상 34세 이하인 사람으로 정하고 있지만 각 법률 또는 각 지방자치단체마다 청년의 나이가 다릅니다. 세종특별자치시의 경우 「세종특별자치시 청년기본 조례」에 따라 19세 이상 34세 이하인 사람이 청년에 해당합니다. 다만, 다른 법령과 조례에서 청년에 대한 연령을 다르게 적용하는 경우에는 그에 따를 수 있으므로 지원받으려는 정책의 나이 기준을 다시 한 번 확인해야 합니다.<br/>◇ 청년의 나이 기준<br/>",2022-05-02 10:09
261,82,5876,근로/노동,청년취업지원,직장 내 괴롭힘 대처 방법,직장 상사가 다른 직장동료가 모인 자리에서 종이를 제게 던지며 모욕을 주는 행위를 수차례 가했습니다. 오랜 기간 준비해서 어렵게 취업한 직장이라 그만두고 싶지 않은데 해결 방법이 없을까요? ,"누구든지 직장 내 괴롭힘 발생 사실을 알게 된 경우에는 그 사실을 사용자에게 신고할 수 있으며, 직장 내 괴롭힘 상담센터(☎1522-9000)의 도움을 받을 수 있습니다.<br/>◇ 직장 내 괴롭힘의 금지<br/>☞ 사용자 또는 근로자는 직장에서의 지위 또는 관계 등의 우위를 이용하여 업무상 적정범위를 넘어 다른 근로자에게 신체적·정신적 고통을 주거나 근무환경을 악화시키는 행위(이하 “직장 내 괴롭힘”이라 함)를 해서는 안 됩니다.<br/>",2022-05-02 10:06
262,82,5871,근로/노동,청년취업지원,구직촉진수당의 수급 자격,저는 저번 달까지 서울특별시에서 미취업 청년을 대상으로 지원하는 청년수당을 매월 50만원씩 6개월 간 지급 받았습니다. 이제는 청년수당 수급 기간이 끝났으니 구직촉진수당을 받을 수 있나요? ,"아니요, 구직촉진수당이란 취업활동계획 수립에 참여하여 그 계획 수립이 완료되거나 취업지원 프로그램 또는 구직활동지원 프로그램을 이행하는 경우 구직활동 및 생활안정을 위해 지급하는 지원금으로서, 국가 또는 지방자치단체가 구직활동에 필요한 비용을 월평균 50만원 이상 또는 총 300만원 이상 지원하는 사업에 참여 중이거나 수급 종료 후 6개월이 지나지 않은 경우에는 구직촉진수당의 수급이 제한됩니다.<br/>◇ 구직촉진수당의 지급<br/>",2022-09-08 8:17
263,82,5875,근로/노동,청년취업지원,중소기업 취업 청년에 대한 소득세 감면,"이번에 중소기업으로 첫 취업에 성공한 사회초년생 청년입니다. 중소기업에 다니는 청년은 소득세를 감면해준다고 꼭 신청하라던데, 어떻게 신청해야 하나요?","소득세 감면 신청을 하려는 근로자는 중소기업 취업자 소득세 감면신청서와 해당사항이 있는 경우에 한하여 병역복무기간을 증명하는 서류 등을 첨부하여 취업일이 속하는 달의 다음 달 말일까지 재직 중인 회사(원천징수의무자)에 제출하면 됩니다. 예를 들어, 2022년 4월 1일에 취업한 경우에는 2022년 5월 31일까지 감면신청서 및 기타서류를 제출해야 합니다.<br/>◇ 중소기업에 취업한 청년에 대한 소득세 감면<br/>☞ 근로계약 체결일 현재 연령이 15세 이상 34세 이하인 청년이 중소기업(비영리기업을 포함함)으로서 「조세특례제한법 시행령」 제27조제3항에 따른 기업(이하 “중소기업”이라 함)에 2012년 1월 1일부터 2023년 12월 31일까지 취업하는 경우, 그 중소기업으로부터 받는 근로소득으로서 그 취업일부터 5년이 되는 날이 속하는 달까지 발생한 소득에 대해서는 소득세의 100분의 90에 상당하는 세액을 감면(과세기간별로 200만원을 한도로 함)합니다.<br/>",2023-03-10 9:01
264,82,5970,근로/노동,고령자 일자리,고령자 역량 강화하기,고령자를 위한 취업 프로그램은 없나요?,고용노동부 고용정보시스템인 워크넷(www.work.go.kr)에서는 ‘취업희망 프로그램’과 ‘성장(성공장년) 프로그램’을 통해 취업을 하려는 50세 이상 중장년 구직자를 지원하고 있습니다.<br/>◇ 취업희망 프로그램<br/>☞ “취업 희망 프로그램”은 취업에 도움이 필요한 사람들에게 자신을 돌아보고 이해하며 긍정적인 측면을 찾도록 하여 자신감 회복과 취업 희망을 돕는 프로그램을 말합니다.<br/>,2022-08-09 11:11
265,82,5973,근로/노동,고령자 일자리,신중년 경력형 일자리 지원,"올해 퇴직을 했는데, 저의 경력과 전문성을 살려 재취업 할 수 있을까요.","만 50세 이상 70세 미만 퇴직전문인력에게 지역사회가 필요로 하는 사회서비스 일자리를 제공하고 일경험을 통해 민간일자리로의 이동을 지원하는 “신중년 경력형 일자리”에 참여해보세요.<br/>◇ 신중년 경력형 일자리의 참여분야<br/>☞ 신중년 경력형 일자리의 참여분야는 경영전략, 마케팅 홍보, 재무회계금융, 외국어, 사회서비스, IT정보화, 법률법무, 문화예술, 행정지원, 교육연구, 상담멘토링, 기타 등 13개 분야로 구성되어 있습니다.<br/>",2022-08-09 11:23
266,82,5976,근로/노동,고령자 일자리,고령자 고용지원금,"고령자 고용지원금을 받으려고 허위로 고령자를 고용한 척 지원금을 신청하면, 어떻게 되나요?",거짓이나 그 밖의 부정한 방법으로 지원금을 받으려는 경우에는 고령자 고용지원금 지원이 제한됩니다.<br/>◇ 고령자 고용지원금<br/>☞ “고령자 고용지원금”은 사업주가 고용하고 있는 만 60세 이상인 근로자의 수가 증가하는 경우 그 비용의 일부를 지원하는 것을 말합니다.<br/>☞ 고령자 고용지원금은 다음의 요건을 모두 갖춘 사업주에게 지급합니다.<br/>,2022-08-09 11:26
